well_id,well_name,lat,long,gse,aquifer_id
405822113551801,"(B- 3-18)29acd- 1",40.9727047,-113.922507,4247.73,0
405825111530301,"(A- 3- 1)19cdc- 3",40.9735555,-111.884939,4298.0,0
405827111402101,"(A- 3- 2)24cdd- 1",40.97411235,-111.673265,5180.0,0
405827111530301,"(A- 3- 1)19cdc- 2",40.97411107,-111.884939,4297.0,0
405830113102400,"(B- 3-12)23ccd- 1",40.97493197,-113.174152,4240.0,0
405833111530001,"(A- 3- 1)19cda- 1",40.9757777,-111.8841057,4345.0,0
405833111530201,"(A- 3- 1)19cdb- 1",40.9757777,-111.8846613,4305.0,0
405839111262801,"(A- 3- 4)24dbd- 1",40.97744665,-111.441866,5475.0,0
405839112560501,"(C-10-10) 2ddc- 1",39.97744367,-112.9355247,4430.0,0
405844111401801,"(A- 3- 2)24caa- 1",40.97883455,-111.6724317,5165.0,0
405848111403701,"(A- 3- 2)24cba- 1",40.9799456,-111.6777098,5155.0,0
405851111404601,"(A- 3- 2)24ccd- 1",40.98077895,-111.6802099,5160.0,0
405852111404601,"(A- 3- 2)24bcc- 1",40.9810567,-111.6802099,5160.0,0
405855111542501,"(B- 3- 1)24bca- 1",40.9818886,-111.9077176,4236.0,0
405857111542501,"(B- 3- 1)24bca- 2",40.98244418,-111.9077176,4236.0,0
405900112542501,"(B- 3- 9)19bac- 1",40.98326686,-112.9077554,4365.0,0
405901111555501,"(B- 3- 1)22adb- 1",40.9835551,-111.9327183,4224.0,0
405901111555502,"(B- 3- 1)22adb- 2",40.9835551,-111.9327183,4224.0,0
405905111404001,"(A- 3- 2)24bbc- 1",40.9846678,-111.6785432,5150.0,0
405909111250201,"(A- 3- 5)19aaa- 1",40.98578,-111.417976,5598.0,0
405912111535601,"(B- 3- 1)24abb- 1",40.98661087,-111.8996619,4256.0,0
405913111411901,"(A- 3- 2)23abb- 1",40.98688998,-111.689377,5190.0,0
405914111402901,"(A- 3- 2)24bab- 1",40.9871678,-111.6754876,5180.0,0
405916112515301,"(C-10- 9) 4bda- 1",39.98772158,-112.8655225,4525.0,0
405916113552101,"(B- 3-18)20acd- 1",40.98770449,-113.9233405,4245.37,0
405917111552001,"(B- 3- 1)14cdd- 1",40.98799957,-111.9229959,4230.0,0
405917113584200,"(B- 3-19)12cbd- 1",40.9879819,-113.979175,4250.0,0
405922111411601,"(A- 3- 2)14dcb- 1",40.98938997,-111.6885437,5180.0,0
405922111530501,"(A- 3- 1)18cdb- 1",40.9893887,-111.8854948,4375.0,0
405922113390801,"NB-BH-02",40.9894722,-113.6523056,4213.8,0
405923113390701,"NB-BH-03",40.9896111,-113.6518889,4213.8,0
405924111532101,"(A- 3- 1)18ccb- 1",40.9891109,-111.8899394,4316.0,0
405925111541001,"(B- 3- 1)13cda- 7",40.9902219,-111.9035509,4250.0,0
405927111240301,"(A- 3- 5)17dac- 2",40.99078006,-111.4015865,5750.0,0
405930111534601,"(B- 3- 1)13dbd- 2",40.99161085,-111.896884,4275.0,0
405930111535001,"(B- 3- 1)13dbd- 1",40.9916108,-111.8979952,4270.0,0
405931111411901,"(A- 3- 2)14dbc- 1",40.99188995,-111.689377,5170.0,0
405932111530501,"(A- 3- 1)18cac- 1",40.99216648,-111.8854949,4400.0,0
405935111405601,"(A- 3- 2)14dad- 1",40.99300108,-111.682988,5140.0,0
405940112550001,"(B- 3-10)13dad- 1",40.99437777,-112.917478,4350.0,0
405943111240001,"(A- 3- 5)17adc- 1",40.99522447,-111.4007531,5630.0,0
405943111560501,"(B- 3- 1)15acd- 1",40.9952216,-111.9354964,4227.0,0
405946113583400,"(B- 3-19)12bab- 1",40.99603737,-113.9769528,4273.0,0
405950111535001,"(B- 3- 1)13aca- 1",40.99716635,-111.8979953,4295.0,0
405951113584301,"(B- 3-19) 1ccc- 1",40.9974262,-113.9794528,4282.0,0
405959111564101,"(B- 3- 1)15bac- 1",40.99966597,-111.9454967,4222.0,0
410004113544801,"(B- 3-18)16cba- 1",41.00103769,-113.9141737,4244.48,0
410007111555801,"(B- 3- 1)15aab- 1",41.00188828,-111.9335519,4282.9,0
410008111545401,"(B- 3- 1)12ccd- 1",41.00216619,-111.9157736,4244.0,0
410009111413201,"(A- 3- 2)11cdd- 1",41.0024454,-111.6929885,5190.0,0
410014113552201,"(B- 3-18)17aca- 1",41.00381539,-113.9236183,4250.0,0
410014113552202,"(B- 3-18)17acd- 2",41.00270429,-113.923896,4243.85,0
410014113552203,"(B- 3-18)17acd- 3",41.00270429,-113.923896,4243.89,0
410018111562301,"(B- 3- 1)10cda- 1",41.00494379,-111.9404966,4270.0,0
410026111403101,"(A- 3- 2)12cac- 1",41.0071676,-111.6760433,5120.0,0
410028111412401,"(A- 3- 2)11caa- 1",41.0077231,-111.6907662,5135.0,0
410028113570201,"(B- 3-18)18bba- 1",41.00770408,-113.9513967,4242.09,0
410028113570202,"(B- 3-18)18bba- 2",41.00770408,-113.9513967,4242.08,0
410029111551501,"(B- 3- 1)11caa- 1",41.00799947,-111.9216071,4235.0,0
410029113562701,"(B- 3-18)18abd- 1",41.0054819,-113.9416743,4242.64,0
410029113562702,"(B- 3-18)18abd- 2",41.00603749,-113.9416743,4242.68,0
410030113571401,"(B- 3-18)18bbb- 1",41.0082596,-113.9547301,4242.51,0
410030113571402,"(B- 3-18)18bbb- 2",41.0082596,-113.9547301,4242.5,0
410033111533501,"(B- 3- 1)12daa- 1",41.00911077,-111.8938286,4660.0,0
410033111562701,"(B- 3- 1)10caa- 1",41.00911045,-111.9416077,4290.0,0
410035111542301,"(B- 3- 1)12bcd- 1",41.0096662,-111.9071623,4420.0,0
410035113572801,"(B- 3-18) 6bbd- 1",41.00964847,-113.958619,4242.84,0
410035113573101,"(B- 3-18) 7ccc-12",41.00937069,-113.9594524,4242.76,0
410035113573102,"(B- 3-18) 7ccc-13",41.00964847,-113.9594524,4242.82,0
410035113573301,"(B- 3-18) 7ccc- 9",41.00937069,-113.9594524,4242.94,0
410036113573201,"(B- 3-18) 7ccc-14",41.00937069,-113.9594524,4242.79,0
410037113573201,"(B- 3-18) 7ccc-11",41.00937069,-113.9594524,4242.68,0
410037113573701,"(B- 3-18) 7ccc- 1",41.00937069,-113.9594524,4243.48,0
410037113573702,"(B- 3-18) 7ccc- 2",41.00937069,-113.9594524,4243.52,0
410037113573705,"(B- 3-18) 7ccc- 5",41.00937069,-113.9594524,4243.32,0
410038113552601,"(B- 3-18) 8dcd- 1",41.010482,-113.9247295,4243.08,0
410038113573601,"(B- 3-18) 7ccc- 6",41.00937069,-113.9594524,4243.14,0
410038113573602,"(B- 3-18) 7ccc- 7",41.00937069,-113.9594524,4243.15,0
410038113573901,"(B- 3-18) 7ccc-10",41.00937069,-113.9594524,4243.7,0
410039113573601,"(B- 3-18) 7ccc- 3",41.00937069,-113.9594524,4243.31,0
410039113573602,"(B- 3-18) 7ccc- 4",41.00937069,-113.9594524,4243.33,0
410039113573603,"(B- 3-18) 7ccc- 8",41.00937069,-113.9594524,4243.22,0
410040113582301,"(B- 3-19) 1bab- 1",41.01103726,-113.9738972,4295.0,0
410041113531101,"(B- 3-18)10dcb- 1",41.01159335,-113.8863954,4244.88,0
410041113580801,"(B- 3-19) 1abb- 1",41.01131506,-113.9697304,4254.33,0
410042113490801,"(B- 4-17)32dcc- 1",41.01159375,-113.8197273,4250.6,0
410042113504901,"(B- 4-17)31ccc- 1",41.011038,-113.8477834,4247.14,0
410042113530601,"(B- 4-18)35ccc- 1",41.01159335,-113.8858398,4245.0,0
410042113552501,"(B- 4-18)33ccc- 1",41.0115931,-113.9244517,4243.02,0
410043113573901,"(B- 4-18)34ddd- 1",41.01187066,-113.9616747,4250.0,0
410043113573902,"(B- 4-18)34ddd- 2",41.00937069,-113.9594524,4244.77,0
410043113573903,"(B- 4-18)34ddd- 3",41.00937069,-113.9594524,4244.74,0
410044113580601,"(B- 4-19)36dcd- 1",41.01214839,-113.9691749,4254.53,0
410050111565501,"(B- 3- 1) 9aad- 3",41.0138326,-111.9493857,4263.0,0
410050113581000,"(B- 4-19)36dcb- 1",41.013815,-113.970286,4350.0,0
410052111403601,"(A- 3- 2)12bba- 1",41.0143897,-111.6774323,5095.0,0
410055111292901,"(A- 3- 4) 9aaa- 1",41.01522379,-111.4921464,5325.0,0
410101111554701,"(B- 3- 1) 3ddd- 1",41.0168883,-111.9304963,4355.0,0
410102111293101,"(A- 3- 4) 4ddd- 1",41.0171682,-111.492702,5325.0,0
410102111554201,"(B- 3- 1) 2ccc- 1",41.01716609,-111.9291073,4365.0,0
410103111292201,"(A- 3- 4) 3ccc- 1",41.01744599,-111.4902018,5340.0,0
410103113581501,"(B- 4-19)36dbb- 1",41.0174261,-113.971675,4305.0,0
410106111574501,"(B- 3- 1) 4cdb- 5",41.018277,-111.963275,4230.0,0
410106113552501,"(B- 4-18)32caa- 1",41.0182597,-113.9244518,4242.65,0
410106113552502,"(B- 4-18)32caa- 2",41.0182597,-113.9244518,4242.58,0
410109111411901,"(A- 3- 2) 2dcb- 1",41.0191118,-111.6893773,5080.0,0
410109111570501,"(B- 3- 1) 4ddb- 5",41.0191104,-111.9521636,4258.0,0
