time,soilw,soilw_yr01,soilw_yr03,soilw_yr05,soilw_yr10
1948-01-01,60.385357,,,,
1948-02-01,64.61667,,,,
1948-03-01,84.51636,,,,
1948-04-01,100.32164,,,,
1948-05-01,91.51035,,,,
1948-06-01,103.6524,,,,
1948-07-01,99.29758,,,,
1948-08-01,86.066765,,,,
1948-09-01,75.22399,,,,
1948-10-01,71.565956,,,,
1948-11-01,75.536766,,,,
1948-12-01,100.091515,84.39877908333334,,,
1949-01-01,137.32372,90.81030933333334,,,
1949-02-01,154.58429,98.30761100000001,,,
1949-03-01,162.6998,104.82289766666668,,,
1949-04-01,165.70238,110.27129266666667,,,
1949-05-01,174.0012,117.14553016666666,,,
1949-06-01,165.73486,122.3190685,,,
1949-07-01,142.32712,125.90486350000002,,,
1949-08-01,115.513336,128.35874441666667,,,
1949-09-01,99.6465,130.39395358333334,,,
1949-10-01,109.30047,133.53849641666667,,,
1949-11-01,114.00701,136.74435008333333,,,
1949-12-01,124.513016,138.77947516666666,,,
1950-01-01,148.35233,139.69852600000002,,,
1950-02-01,155.11024,139.74235516666667,,,
1950-03-01,144.89104,138.25829183333335,,,
1950-04-01,135.85104,135.77068016666666,,,
1950-05-01,137.5949,132.73682183333335,,,
1950-06-01,125.0924,129.34995016666667,,,
1950-07-01,108.600845,126.53942725,,,
1950-08-01,87.73702,124.22473425,,,
1950-09-01,88.57241,123.30189341666666,,,
1950-10-01,97.619484,122.32847791666666,,,
1950-11-01,111.80334,122.14483875,,,
1950-12-01,124.00167,122.10222658333333,115.09349361111111,,
1951-01-01,138.04597,121.24336325000002,117.25073286111112,,
1951-02-01,145.0026,120.40105991666667,119.48367536111112,,
1951-03-01,148.99454,120.74301824999999,121.27473591666666,,
1951-04-01,166.6136,123.30656491666666,123.11617924999999,,
1951-05-01,173.55533,126.30326741666666,125.39520647222223,,
1951-06-01,153.45479,128.66679991666666,126.77860619444446,,
1951-07-01,141.13123,131.37766533333334,127.94065202777779,,
1951-08-01,134.395,135.26583033333333,129.283103,,
