Well_ID,elev,enh_kge,enh_r2,enh_rmse,enh_mae,dist_kge,dist_r2,dist_rmse,dist_mae,idw_kge,idw_r2,idw_rmse,idw_mae
415703112514501,0.0,0.027690230971246232,-0.11074736448028322,5.272331630377562,4.37361693971966,-0.05510065313446466,-8.939215585765297,15.771432053787354,14.939219852011721,-0.0555601499751357,-9.250866929268945,16.016785955351637,15.198174165761843
414236112101201,0.0,0.6180943666178402,-1065.8255063473537,44.2884600482597,44.27378895462006,0.4293791401563247,-163.42849769851844,17.387311265926584,17.35745940157355,0.33549902101769047,-578.7636367397411,32.64896142201488,32.63138282511149
411348112013601,0.0,0.52611142054493,-7.009051999787218,14.273570580417262,13.940090605419975,0.3333832905283428,-37.90359667978898,31.458422963072888,31.246631443572582,0.3248173616502339,-30.58917491904053,28.347268124727993,28.104307379340682
411544111461001,0.0,0.3532762217693789,-1.5772367202424613,5.996506903885723,5.293252336267892,0.49708726435829076,-101.28356546960269,37.776708245063695,37.66274283641718,0.48163068545669996,-140.7932833715042,44.478385269584855,44.38076151972916
401818112014501,0.0,-4.802732653880242,-493.44634243862674,6.665155066624198,6.344427451732549,-2.0435165279278893,-251.740000386909,4.7652716640453825,4.610032648493188,-2.065727532971933,-812.7816157069766,8.55075790824737,8.464011468031195
402333111513401,0.0,-0.30771640749376106,-2.2921871821104056,12.364350686605293,10.342056035830856,0.01953726559049862,-0.0692750971524343,7.046505264357771,5.452501749529294,0.058973520286996095,0.02962915926510401,6.71271058688037,5.2472853005313915
401312112442301,0.0,0.09661364874850475,-10136.770943317893,104.90332753095745,104.89892564032814,0.0048746701004594994,-2055.219048618603,47.244658713856765,47.230539721624105,-0.010769398996744117,-1631.6085199423371,42.09776663567993,42.076844902822195
403916111575901,1360.0,-0.03780669357119115,-9026.249027112659,102.39361412507996,102.37730595915178,0.25907772056909806,-49.03196509584283,7.622877508644993,7.475913206677739,0.2592727752874632,-49.24482973906479,7.6390763412178675,7.492482831750465
414411112543701,0.0,-0.6689139603027965,-2351.6810752150955,26.635437613280555,26.612945696352252,0.3341961758862272,-0.16519265868345867,0.5927576626082822,0.4770874504746637,-1.213660642097461,-1289.1469628562586,19.724131948352007,19.677534819032786
413805111492201,0.0,-0.03773380484776623,-8342.120522993402,251.25869143192472,251.21279196594742,0.2302573858227449,-5724.002345195339,208.1347853176636,208.1158635208265,0.22752733155961502,-5870.553528471369,210.78191565011568,210.76346677136377
404007111585801,0.0,-7.437495890569727,-5106.754120814067,62.7468713686242,62.19790073805234,-8.003536056844405,-5412.976831318401,64.60041103472804,64.00092498450496,-7.6968965899774435,-4975.037550592907,61.93254249972897,61.34519505118268
403524111512901,0.0,-0.6071835597308419,-3645.5972750749015,92.20064428506706,92.1231481876829,-7.502494647833414,-29483.42941864637,262.17206703362217,261.76576130244405,-7.499008467257271,-29472.141593176846,262.1218772234742,261.71578039883633
403627111495701,0.0,-0.27272482925943575,-236.70590684533457,50.48179254369606,50.3481708136109,0.9136792708227538,0.2802825093555905,2.777766969413531,2.558464287335394,0.9136792708227538,0.2802825093555905,2.777766969413531,2.558464287335394
403628111514301,0.0,-0.9727811343450203,-289.25583328014903,41.206035920342174,40.61306738916923,-1.3824309571673061,-217.9679205450541,35.78990993965558,34.881822379968284,-1.0255450932746841,-197.13368164342242,34.044700134732345,33.30036596893653
393814113522601,0.0,0.3374164865772866,-1968.0779563813392,42.09239605551733,42.081159519920305,0.19465559629312945,-20.8809201155382,4.437158916667761,4.345863188222308,0.19324551303569482,-3.393869035221349,1.9883633384066133,1.7998275031033808
403524111572201,0.0,0.3670531292393294,-37.724348377237796,13.156868555957287,12.954408395260158,0.5782343990592524,-8.387766275595789,6.478009952419617,6.179324681428186,0.5794947515637442,-8.124019719433054,6.386362766029604,6.083917639502478
