Well_ID,pct_missing,rep,n_held,rank,n,kge,r2,rmse,mae,nse,r
415703112514501,10,0,28,3,28,-0.2584811806785632,-0.16379085053965903,4.8186688242643365,3.8049586793389545,-0.16379085053965903,0.12506464891945313
415703112514501,10,1,28,3,28,-0.6151960301063484,-0.08724904912658027,5.162223811543776,4.323443134267758,-0.08724904912658027,-0.34469919322096365
415703112514501,10,2,28,3,28,-0.25352030588245666,-0.014121220866631479,4.583201731000196,3.929577840223536,-0.014121220866631479,0.1437549431251307
415703112514501,10,3,28,3,28,-0.5776317496082011,-0.06938392182005271,5.070994172244102,4.391180994000706,-0.06938392182005271,-0.2897296621971579
415703112514501,10,4,28,3,28,-0.4914068640437519,-0.12326654308350982,5.160437211000665,4.153506859680127,-0.12326654308350982,-0.19129619638285292
415703112514501,10,5,28,3,28,-0.23006935177276988,-0.013887688590111136,5.6950747353610325,4.975549343562404,-0.013887688590111136,0.18862921925382434
415703112514501,10,6,28,3,28,-0.30296781628091485,-0.18350123465643042,4.32011372135815,3.722333156910086,-0.18350123465643042,0.06286589167574144
415703112514501,10,7,28,3,28,-0.3449046370760478,-0.02293693333614244,4.966500920946759,4.162447012840046,-0.02293693333614244,-0.007633848379214781
415703112514501,10,8,28,3,28,-0.16786448578637558,-0.044156120788754194,4.761361478309243,3.9746239718910408,-0.044156120788754194,0.265842841774363
415703112514501,10,9,28,3,28,-0.4650518053816135,-0.19943705670320222,5.246987295269879,4.752395497018987,-0.19943705670320222,-0.13486221519679142
415703112514501,10,10,28,3,28,-0.7475009385735472,-0.11951991635167736,6.411621694603779,5.332783344556025,-0.11951991635167736,-0.4909593654423536
415703112514501,10,11,28,3,28,-0.24970156753102257,0.0175157125217823,5.659862305900396,4.951311380373844,0.0175157125217823,0.1545752503528974
415703112514501,10,12,28,3,28,-0.11047091514494878,0.047716097495460574,4.763906482838831,4.0062243151723385,0.047716097495460574,0.367688940959316
415703112514501,10,13,28,3,28,-0.3892923405407409,-0.017517894743753093,5.5318052466640575,4.616774637551283,-0.017517894743753093,-0.048086557896788895
415703112514501,10,14,28,3,28,-0.35791942330258775,-0.12929013552179902,5.363048545897448,4.679570250950552,-0.12929013552179902,-0.029826069294922083
415703112514501,10,15,28,3,28,-0.3465554737922123,-0.05571337827721834,4.461551051124623,3.7646833784834013,-0.05571337827721834,0.0013821338239399144
415703112514501,10,16,28,3,28,-0.20779526336601317,0.011174281955573795,4.384562547511617,3.5779454402514665,0.011174281955573795,0.17955778490801522
415703112514501,10,17,28,3,28,-0.07459858673781783,0.05943964125499257,4.217622607215472,3.4189010370632786,0.05943964125499257,0.4323214419531327
415703112514501,10,18,28,3,28,-0.7227013369362616,-0.12187347258204406,5.869036828996023,4.848645627644048,-0.12187347258204406,-0.46514288480754107
415703112514501,10,19,28,3,28,-0.4598193481849826,-0.07370967630657077,4.480478054871389,3.7605538661620295,-0.07370967630657077,-0.17287708708715324
415703112514501,20,0,57,3,57,-0.3371056206118679,-0.00820856999700914,4.295825518277496,3.630416716693106,-0.00820856999700914,0.01105051260848328
415703112514501,20,1,57,3,57,-0.24415273713629082,0.017506161404395537,5.078058129321381,4.335929084892262,0.017506161404395537,0.13903511490726744
415703112514501,20,2,57,3,57,-0.11154788704021956,0.045626824813466915,4.595948383262202,3.9003007550433897,0.045626824813466915,0.38478064497403913
415703112514501,20,3,57,3,57,-0.27443399718816086,0.010306101509590548,5.122607902073838,4.437375275565612,0.010306101509590548,0.12248538328282804
415703112514501,20,4,57,3,57,-0.3502586347827319,-0.024220899094153925,4.13767835427397,3.497419216277721,-0.024220899094153925,-0.016488561050852377
415703112514501,20,5,57,3,57,-0.32060431173242754,-0.023952710575059433,4.709856442195798,3.7994355214139817,-0.023952710575059433,0.019615742887500065
415703112514501,20,6,57,3,57,-0.3822783019198064,-0.011651473237133114,4.848829324244984,4.059381306062805,-0.011651473237133114,-0.02629408453673051
415703112514501,20,7,57,3,57,-0.490759970035886,-0.11825629503652091,5.109384382283908,4.2518502116028944,-0.11825629503652091,-0.19636913481572052
415703112514501,20,8,57,3,57,-0.5140618973207967,-0.15153684727523942,4.761373963141483,4.178678492702522,-0.15153684727523942,-0.24379514910309807
415703112514501,20,9,57,3,57,-0.24857520120325716,0.017540333524064255,5.120288739370413,4.491874592578888,0.017540333524064255,0.14540122431066804
415703112514501,20,10,57,3,57,-0.23045492713668048,-0.030840403782075754,4.60454047555679,3.996047531814695,-0.030840403782075754,0.16599568385919589
415703112514501,20,11,57,3,57,-0.4506744805696339,-0.07961966004290733,5.511527478178028,4.631025265086799,-0.07961966004290733,-0.1560651696453974
415703112514501,20,12,57,3,57,-0.16892089962570966,0.03715356267315184,4.7371295137487675,4.067440915208927,0.03715356267315184,0.28287341726966264
415703112514501,20,13,57,3,57,-0.5048551591075654,-0.09171685614227987,5.037254715279165,4.143187684176107,-0.09171685614227987,-0.23837012507942398
415703112514501,20,14,57,3,57,-0.4050095206162263,-0.0630528281396101,4.878453082500387,3.8756630965470706,-0.0630528281396101,-0.10230254767265105
415703112514501,20,15,57,3,57,-0.25818155761645234,0.010049438991879267,4.637566303224793,3.9248082358566885,0.010049438991879267,0.13364996128463144
415703112514501,20,16,57,3,57,-0.28957617086359644,-0.011526187972210167,5.000590616221662,4.117333996777058,-0.011526187972210167,0.08526797284613251
