pct_missing,rep,status,n_removed,n_remaining,n_scored,mae,rmse,r,r2,kge,nse
5,0,ok,10,192,10.0,1.910468883195972,2.19111981431969,0.9224902397955811,0.8495443967128412,0.9109711490776427,0.8495443967128418
5,1,ok,10,192,10.0,2.619491306632426,3.3486075693064636,0.8695202672077016,0.7400160421612012,0.7241424842807493,0.7400160421612016
5,2,ok,10,192,10.0,2.072715817291646,2.4468687409979593,0.8936722218156268,0.7980132902789123,0.8513492811005334,0.7980132902789131
5,3,ok,10,192,10.0,1.882552346122975,2.306278927190383,0.8653723295969468,0.7263449523761738,0.8652715219472783,0.7263449523761751
5,4,ok,10,192,10.0,1.8181857900774048,2.3687061842540205,0.9016279283474685,0.7138967620802915,0.9010282382837638,0.713896762080293
5,5,ok,10,192,10.0,1.8581962785397081,2.235190138320464,0.9556785368405986,0.8868569810936631,0.7970196534943483,0.8868569810936633
5,6,ok,10,192,10.0,2.449054541167243,2.9752080702761328,0.8766731920874924,0.6822969032536277,0.8414250191968744,0.6822969032536288
5,7,ok,10,192,10.0,1.8594531607317548,2.4730548254448186,0.9092126874162343,0.8200898837432379,0.8617371241956944,0.8200898837432384
5,8,ok,10,192,10.0,1.8280831611948087,2.232384038127001,0.9473784675516497,0.8835567568350468,0.892043600413003,0.883556756835047
5,9,ok,10,192,10.0,2.51255118889585,3.015794960691749,0.8834219895504767,0.7463445738119923,0.8501409695919289,0.746344573811993
5,10,ok,10,192,10.0,2.702230150165087,3.2045715494505718,0.8011999857909274,0.628152268548049,0.7047533284336683,0.6281522685480503
5,11,ok,10,192,10.0,2.524302135872131,2.882680475589658,0.9126744049067681,0.786087510244478,0.7405030715835204,0.7860875102444784
5,12,ok,10,192,10.0,1.7400920192812008,2.2407963875533623,0.9182819939095609,0.8301084685294009,0.9174367945090216,0.8301084685294015
5,13,ok,10,192,10.0,1.705761424805587,2.1519771372295122,0.9228344405239155,0.8499402691264514,0.9137317280986247,0.8499402691264518
5,14,ok,10,192,10.0,2.140555791409406,2.5332604612074343,0.9086296279171596,0.8174162212666087,0.7973250222743185,0.8174162212666093
5,15,ok,10,192,10.0,2.3053817390578843,2.986108964652512,0.8910791549390479,0.7731390255918984,0.8884558036593,0.7731390255918991
5,16,ok,10,192,10.0,1.7631602916056182,2.296222008011769,0.8241701062370119,0.6437778557481069,0.7177594387277235,0.6437778557481093
5,17,ok,10,192,10.0,2.5882905036527517,4.427285257881116,0.6706863516247101,0.34613448589280393,0.661103377764835,0.34613448589280615
