resolution,Well_ID,grid_cell,grid_dist_deg,true_mean,idw_mean_est,mean_error,rank,amc_kge,amc_r2,amc_rmse,amc_mae,idw_kge,idw_r2,idw_rmse,idw_mae,rmc_kge,rmc_r2,rmc_rmse,rmc_mae
0.1,415703112514501,1348,0.047421717788921,4211.915038160456,4223.191215675635,11.27617751517937,5,-0.13974285165817557,-5.130890859811116,12.386735569153075,11.276177515179691,-0.026378030363339855,-5.095835470697168,12.351272181556968,11.276177515181192,-0.24565202231902816,-5.178798871216404,12.435037610944574,11.276188996465006
0.1,414236112101201,1247,0.014972445445157224,4295.836915748806,4320.011997795475,24.17508204666865,5,0.2817788150530123,-317.51626373831414,24.19968376705426,24.17508204666918,0.38933718730066913,-317.44866249097134,24.197115584821553,24.175082046667658,0.3072984131216634,-317.4866781675506,24.198559840014333,24.175077853764336
0.1,411348112013601,1069,0.0391640517531978,4254.555350713205,4305.332199303856,50.77684859065084,5,0.5207883838164342,-100.76363364445572,50.87897729679419,50.7768485906507,0.6014341457059518,-100.69335086111676,50.86140454684746,50.77684859065039,0.5239754637518086,-100.75359925219976,50.87646877688614,50.77685707074966
0.1,411544111461001,1107,0.04366491730999178,4902.612191080549,4881.339779769058,21.27241131149094,5,0.3989658509604578,-32.03125878058376,21.46761237716525,21.272411311490085,0.4604966320927224,-31.983780974992477,21.45217848696604,21.27241131149368,-0.036462871914786366,-32.37738187592875,21.579795091355646,21.272365923040958
0.1,401818112014501,745,0.03129284550520307,4762.901875611026,4641.167882186249,121.73399342477751,5,-3.079108728937082,-164965.85067422484,121.74440606008594,121.7339934247768,-3.222100510779506,-164966.9287558602,121.74480386786794,121.73399342477722,-2.988910046468719,-164964.07221855476,121.74374981426465,121.73400542550242
0.1,402333111513401,782,0.02592409605424046,4529.257348247341,4517.907483000278,11.349865247062553,5,-0.9133801266418187,-3.0107515494712036,13.647149039409154,11.564146811904765,-0.8104932003246901,-3.024702671866349,13.67086376772285,11.50374098728811,-0.8575914590824498,-2.9948800479993074,13.620119759030029,11.541197460667966
0.1,401312112442301,701,0.04043714204759599,4760.465899661774,4813.1999443675795,52.7340447058059,5,-0.11641050469733871,-2562.0661596537034,52.74702080475585,52.734044705806774,0.00016888748957955002,-2562.004398774627,52.74638529209334,52.73404470580623,-0.09986927800045664,-2562.0681424859,52.74704120775451,52.73404466248376
0.1,403916111575901,889,0.051882401749557355,4399.510116238381,4319.875060418221,79.63505582015932,5,-8.780609414969788,-5580.070344638733,80.51075678783481,79.6350558201597,-8.812157130136994,-5580.446274753392,80.51346826668266,79.63505582016072,-8.780582955181742,-5580.364256137987,80.51287669712134,79.63506003796239
0.1,414411112543701,1240,0.03667596473492684,4212.87427391022,4226.0349649107175,13.160691000497536,5,-0.9532491461055044,-578.2372353813354,13.21619819948013,13.160691000496952,-1.2198822050006153,-579.5161908908185,13.230780833625065,13.160691000497927,-0.9077133026670416,-578.1873818459306,13.215629444277477,13.160695305332032
0.1,413805111492201,1215,0.04041485372857007,4750.748803389917,4608.534521143525,142.21428224639203,5,-0.03777273835332973,-2672.7669815642143,142.238974619684,142.21428224639084,0.07591344612460149,-2672.6958345514163,142.2370821687825,142.2142822463907,-0.03722532856616967,-2672.749844538127,142.23851879145715,142.2142761162555
