resolution,Well_ID,rank,true_mean,true_elev,grid_elev,mc_kge,mc_r2,mc_rmse,mc_mae,mc_r,idw_kge,idw_r2,idw_rmse,idw_mae
0.1,415703112514501,5,4211.915038160456,1336.0,0.0,-2.766639649757463,-8659.285170168556,465.5444680100148,464.95268339473085,0.06325075585402543,-0.026378030363339855,-5.095835470697168,12.351272181556968,11.276177515181192
0.1,414236112101201,5,4295.836915748806,1316.0,0.0,-15.013798567724919,-79208.11776456043,381.6203034282955,380.8893210382905,-0.4394260649784978,0.38933718730066913,-317.44866249097134,24.197115584821553,24.175082046667658
0.1,411348112013601,5,4254.555350713205,1303.0,0.0,-2.7431307354321626,-7031.023400499255,422.9433723618029,422.24028194900774,-0.18191807517360062,0.6014341457059518,-100.69335086111676,50.86140454684746,50.77684859065039
0.1,411544111461001,5,4902.612191080549,1501.0,0.0,-4.199448625309262,-3727.412619055362,228.07787992293544,226.91247623722086,0.023539263184367144,0.4604966320927224,-31.983780974992477,21.45217848696604,21.27241131149368
0.1,401818112014501,5,4762.901875611026,1483.0,0.0,-74.11715196837912,-89937.59658551827,89.89255547504753,86.9662672130797,0.22297968914585084,-3.222100510779506,-164966.9287558602,121.74480386786794,121.73399342477722
0.1,402333111513401,5,4529.257348247341,1390.0,0.0,-1.8256978493250662,-480.7644703752287,149.57066981308134,147.07239051303335,-0.5231244557215086,-0.8104932003246901,-3.024702671866349,13.67086376772285,11.50374098728811
0.1,401312112442301,5,4760.465899661774,1473.0,0.0,-20.04693319517893,-7046.856474437146,87.467467578508,84.5262203336543,0.4707248558273837,0.00016888748957955002,-2562.004398774627,52.74638529209334,52.73404470580623
0.1,403916111575901,5,4399.510116238381,1360.0,0.0,-19.173471338139002,-66512.1610789722,277.9386571741134,277.0407546479492,0.4715208868388884,-8.812157130136994,-5580.446274753392,80.51346826668266,79.63505582016072
0.1,414411112543701,5,4212.87427391022,1292.0,0.0,-40.18018953626832,-715763.063196003,464.5829334368173,463.9922125396124,-0.4881563176294998,-1.2198822050006153,-579.5161908908185,13.230780833625065,13.160691000497927
0.1,413805111492201,5,4750.748803389917,1466.0,0.0,-6.4783543589228305,-817.8904822679889,78.71721975383869,74.79212657536647,-0.5754428793851368,0.07591344612460149,-2672.6958345514163,142.2370821687825,142.2142822463907
0.1,404007111585801,5,4398.971461735444,1351.0,0.0,-24.01953682657826,-100642.14001076671,278.52820086786846,277.58024493171655,-0.13924621633647782,-11.78606760526333,-9023.734787448926,83.40542676077989,82.51776235295384
0.1,403524111512901,5,4562.420256168438,1418.0,0.0,-13.016897568820385,-5798.524202887496,116.27497020462451,113.85477119862657,-0.49560244150850435,-1.30340574677632,-8601.393853512684,141.61188885173334,141.5201664159918
0.1,403627111495701,5,4563.167171705558,1401.0,0.0,-5.121899739692993,-1247.0584224395445,115.67306374407562,113.10646933801367,-0.37774154469333093,-0.28389287964840837,-460.5812367759197,70.34591032574211,70.26575504103512
0.1,403628111514301,5,4436.142201219031,1372.0,0.0,-7.56919196329709,-9973.413743459016,241.55389680377388,240.34639233256888,-0.49900581893903245,-0.26216220524758294,-17.2423676720648,10.330253066527852,9.081442970476976
0.1,393814113522601,5,4749.1580957288015,1450.0,0.0,-22.47252352840138,-6549.413788890965,76.77265511119533,73.19986896460227,0.07189483358739124,0.2719456051381258,-370.26509453135486,18.277393114439086,18.254993518920752
0.1,403524111572201,5,4388.040990756111,1364.0,0.0,-8.896502861207166,-18748.284333737316,289.50283716558874,288.52905397814976,-0.38437056735593456,0.7883775553037322,-84.99778719223634,19.606682442830067,19.570795291700637
0.1,415008111593901,5,4388.77316998358,1342.0,0.0,-12.111335310714937,-31648.73529033656,288.6485352370995,287.7963514869062,0.468662908025672,0.49672418636907056,-502.43122619408166,36.404443111709945,36.385123143182874
0.1,414209111574001,5,4414.740961900602,1348.0,0.0,-20.57306189447762,-66844.31160289193,262.7992497225289,261.78429297486167,-0.1362011644465893,-0.11788404652132245,-317.1119343700496,18.12919941993678,18.09593049549496
0.1,414642111511401,5,4435.501389964223,1356.0,0.0,-23.235113363821366,-71212.6170979668,242.0551051811538,240.9889153847863,0.2221131476990329,-0.5497455259655291,-6.549673062924008,2.492279795349721,2.223118499480522
0.1,415926111571302,5,4502.928958641322,1376.0,0.0,-28.213814857036887,-53026.377303190966,174.98610657731618,173.4471288313229,-0.27223956986884684,-0.7051154743097248,-75.79041579631514,6.658969166582335,6.365365425763327
0.1,414721111590001,5,4424.7940829873905,1351.0,0.0,-14.25014974587404,-32175.082514109323,252.69954554113923,251.71447646777173,0.44227281898356546,0.3427148265144744,-51.40336018161872,10.198057236934739,10.139642631227836
0.1,415926111571301,5,4501.123750048388,1376.0,0.0,-26.95817393521928,-49727.90714560775,176.76951950108008,175.25540629516505,-0.17469420990084267,-0.47948768856525925,-135.02076917960002,9.244970655960218,9.067217855501134
0.1,415638111493601,5,4463.5800326616545,1362.0,0.0,-11.561344450244567,-16048.395515203772,214.07382036813698,212.86282369986895,0.1103740330038654,-0.9392874704034491,-670.9586884197024,43.803166506631825,43.57106077218738
0.1,403627111495702,5,4565.665562475925,1401.0,0.0,-4.725604787583561,-1065.2243591217532,113.18841938890174,110.6038707485467,-0.294664517950236,-0.26335954508063564,-443.54622856369616,73.08633096186452,73.00181451422766
0.1,415506112030201,5,4883.4152907530515,1494.0,0.0,-7.875253781772649,-8012.765909715873,208.9397899470731,207.68304825340587,0.07380838288155775,0.1119604361319344,-39620.47288752489,464.5881579164141,464.58349531013005
0.1,413840111552601,5,4470.655183680253,1365.0,0.0,-10.646662503149862,-13136.436067289958,206.93456375162486,205.77588362678537,0.5543660339927181,-0.7241813819070679,-3803.3497890185104,111.35710928593912,111.33021060942298
0.1,414134111544701,5,4400.738472153656,1352.0,0.0,-10.056943713997391,-21220.69675433181,276.7097100221196,275.8106929706958,0.34144507033127347,-0.9337440635605208,-637.9176010555932,48.01277118963568,47.95830609351297
0.1,413609111495701,5,4800.123503050108,1467.0,0.0,-25.686814670647028,-23409.346732278198,126.34840172984867,124.25030557513784,-0.08484190104158981,0.0002445856159206672,-83414.2054609178,238.50003189924485,238.49587822790156
0.1,403002112123201,5,5457.263812258602,1705.0,0.0,-11.268752032895248,-203543.38942369577,782.8595369607924,782.5031041110392,-0.39296089464019784,-1.3014389329896487,-46902.5731743252,375.8004045155864,375.76886732153434
0.1,414857111495801,5,4482.401577195809,1373.0,0.0,-4.712954578794033,-3088.2508301598778,195.58957695913125,194.00879572662745,-0.47952252932304545,0.08672029362577549,-104.74369395726153,36.186481706476926,36.04493856902552
0.2,415703112514501,5,4211.915038160456,1336.0,1340.0,-0.072561885175362,-8640.54355042784,465.0404555679826,465.0126132921984,0.13851172773155104,0.05414740876989177,-115.93609667211324,54.09652527206973,53.768118119206186
0.2,414236112101201,5,4295.836915748806,1316.0,1625.0,-0.720473376151834,-78944.19912650922,380.98400833561266,380.97136858381606,0.526720139466481,0.6803174376300449,-235.90567681627354,20.870440628483287,20.84187202797415
0.2,411348112013601,5,4254.555350713205,1303.0,1352.0,0.1330291384422716,-7010.50332797068,422.3258282471341,422.30217843746993,0.51853986051854,0.46233456513176197,0.2167499859605272,4.463672016838195,3.4063722517551773
0.2,411544111461001,5,4902.612191080549,1501.0,1803.0,-0.22921262109805518,-3690.3270125751706,226.94072772786612,226.81939116107338,0.008155658867997599,0.27258009437477193,-4467.157378034275,249.68095312249986,249.65827513670573
0.2,401818112014501,5,4762.901875611026,1483.0,1536.0,-6.1444679088819925,-84099.55204685268,86.9260803196141,86.88976192720509,-0.30327857095778177,-4.734424757228565,-629.7250425473309,7.5278457383924495,7.229823592268417
0.2,402333111513401,5,4529.257348247341,1390.0,1366.0,-0.09995144523600596,-466.1504918903415,147.28464073627842,147.13681277613904,0.26202223759066173,-0.8541016683488534,-30.031066630082424,37.960105119612464,36.73190104676557
0.2,401312112442301,5,4760.465899661774,1473.0,1341.0,0.0902166291823453,-6573.978978909116,84.48219933270346,84.46583561433717,0.2701048493166333,-0.04464004729284787,-4.236869935001281,2.384261691327947,2.0907885150736103
0.2,403916111575901,5,4399.510116238381,1360.0,1287.0,-0.14413806971394805,-66113.32903726117,277.1041041790451,277.0975985586942,0.49133246112218537,-1.8374756941989485,-8145.831584935941,97.27237729160227,97.18166759366308
0.2,414411112543701,5,4212.87427391022,1292.0,1391.0,-0.6218901012421303,-714144.5913327407,464.05738320355925,464.0556617442053,0.38891157501484674,-1.9080821236840655,-2725.82763726969,28.67524588083635,28.622464364549096
0.2,413805111492201,5,4750.748803389917,1466.0,1474.0,0.2960773024804316,-737.7002936059886,74.76373177969543,74.72108726237917,0.4283771487458435,0.10289889469825353,-4032.2757972746163,174.69713998128276,174.67966089640063
0.2,404007111585801,5,4398.971461735444,1351.0,1287.0,-0.8295368719411786,-100006.73387687081,277.6475708063494,277.63715156724123,-0.06580647754626441,-2.5712266051220785,-12396.699779743865,97.75694984819646,97.67531143675797
0.2,403524111512901,5,4562.420256168438,1418.0,1465.0,0.1662820226985714,-5568.2109616059115,113.94280037886585,113.92569572675055,0.16666199093178125,0.08315649858016294,-827.5699887360139,43.949572369023294,43.91904589567299
0.2,403627111495701,5,4563.167171705558,1401.0,1465.0,-0.11632476982054873,-1194.9885154821136,113.23437452600085,113.17751267934467,0.019089706496505824,-0.3394370734890546,-170.2214330034885,42.84437822736074,42.70009897532402
0.2,403628111514301,5,4436.142201219031,1372.0,1465.0,0.5125061143496557,-9880.310936888476,240.42390197488515,240.41741128726446,0.6850613431358623,0.3116041891574488,-4998.583777378915,171.01621239815924,171.0059513114903
0.2,393814113522601,5,4749.1580957288015,1450.0,1531.0,-0.37385596465412685,-5946.326176474156,73.15315674712646,73.12516418601577,0.25027682382603045,0.017670440068888738,-1462.248966055926,36.28534911084922,36.27451546261567
0.2,403524111572201,5,4388.040990756111,1364.0,1531.0,0.5715291313405577,-18633.0752447785,288.6120097530105,288.60494091554415,0.587478270852488,0.4982595653469054,-34709.636043103244,393.90524398744213,393.9003072348959
0.2,415008111593901,5,4388.77316998358,1342.0,1639.0,-1.1504457720229588,-31489.94083903914,287.9235145953323,287.87900258183276,-0.6529638185850682,-0.02252133126375999,-266.73072810393626,26.548098878391734,26.503461115213312
0.2,414209111574001,5,4414.740961900602,1348.0,1639.0,-1.8628333484972286,-66383.74370999241,261.8923341672379,261.86730969740637,0.35127400021339156,-0.12718957717590862,-1.8822309954322933,1.7256512766424177,1.4877660171449476
0.2,414642111511401,5,4435.501389964223,1356.0,1373.0,-0.5566692748918771,-70628.04393295503,241.0595757851391,241.0517430047356,-0.482079236728434,-0.38656711737815463,-89.33815139665279,8.621211982345255,8.558046773212093
0.2,415926111571302,5,4502.928958641322,1376.0,1513.0,-0.941038159699416,-52149.85044642526,173.53384592742304,173.5207880033237,0.10105769911076551,-0.2530255096557694,-39966.963631029335,151.91809474355338,151.9103335673045
