Well_ID,n_years,rep,n_held,rank,window_start,window_end,n,kge,r2,rmse,mae,nse,r
415703112514501,1,0,12,3,2016-10,2017-09,12,-0.4511841851050977,-0.03382845942592305,3.0357798280320596,2.7651757017391296,-0.03382845942592305,-0.1257542891496535
415703112514501,1,1,12,3,2018-08,2019-07,12,-0.1284138981917038,-0.05945029374155597,5.748603544564744,4.717318268289698,-0.05945029374155597,0.4180383191484478
415703112514501,1,2,12,3,2014-07,2015-06,12,-0.08159276077496469,-0.06599873901500986,5.5495217707309195,4.804837048280963,-0.06599873901500986,0.5616203816361748
415703112514501,1,3,12,3,2009-09,2010-08,12,-0.9212117472854882,-0.18664419941002297,4.234231206566181,3.55151637474925,-0.18664419941002297,-0.661762673781424
415703112514501,1,4,12,3,2011-05,2012-04,12,-0.9825846846912407,-0.23727319362971677,6.86999200872154,5.808057910183304,-0.23727319362971677,-0.7661352505126088
415703112514501,1,5,12,3,2000-08,2001-07,12,-0.3333930226850683,-0.12313453066457036,7.656851662628335,6.717385752910407,-0.12313453066457036,0.08540252665871341
415703112514501,1,6,12,3,2021-08,2022-07,12,0.032481384677597536,0.03507763864624924,4.036544998247091,3.3071066494618813,0.03507763864624924,0.9258639048784726
415703112514501,1,7,12,3,2015-09,2016-08,12,-0.0018256193201715565,3.485658667123914e-05,3.0799623025905456,2.626672987682241,3.485658667123914e-05,0.7418717088090174
415703112514501,1,8,12,3,2017-12,2018-11,12,0.022445529149774268,-0.029802279229501405,6.107651560144343,5.5481741585488935,-0.029802279229501405,0.8910958720271774
415703112514501,1,9,12,3,2005-03,2006-02,12,-0.1698755981848492,0.021948901881532312,5.214822190669013,4.527744207384558,0.021948901881532312,0.3401628926126318
415703112514501,1,10,12,3,2009-06,2010-05,12,-0.819101955211146,-0.4330312778048304,3.7633448190839762,3.0658475952426065,-0.4330312778048304,-0.5410554526699445
415703112514501,1,11,12,3,2012-01,2012-12,12,-0.02706569833106931,-1.5587548419030948,3.904817482075875,3.2708827851270903,-1.5587548419030948,0.4087404202405026
415703112514501,1,12,12,3,2013-03,2014-02,12,-0.3682327360098836,-0.2709989477442176,6.943829102663661,5.725311461261147,-0.2709989477442176,0.022975994495711523
415703112514501,1,13,12,3,2014-11,2015-10,12,-0.08127934453361263,0.024017842076136664,3.831844346147408,3.2374490050196223,0.024017842076136664,0.5343233669633554
415703112514501,1,14,12,3,2018-09,2019-08,12,-0.2576557812486726,-0.08255056635875535,5.824251307275073,4.732888590350815,-0.08255056635875535,0.18647481977035474
415703112514501,1,15,12,3,2003-06,2004-05,12,-0.17631777682999816,-0.07579706934261532,5.734145937764733,5.040722762666292,-0.07579706934261532,0.344588176867868
415703112514501,1,16,12,3,2008-06,2009-05,12,-0.004431615921036247,0.05629060917930484,4.536207058942188,3.9913859305792507,0.05629060917930484,0.6976456652672243
415703112514501,1,17,12,3,2023-01,2023-12,12,-0.620226543328471,-0.02972999044591118,3.5859975962631383,3.17090994185196,-0.02972999044591118,-0.308303499622431
